id_worker,original_answer,correct_ans
1,con,con
2,neutral,con
3,con,con
4,con,con
5,pro,con
6,con,con
7,pro,con
8,pro,con
1,pro,con
2,con,pro
3,con,pro
4,con,pro
5,pro,pro
6,con,pro
7,con,pro
8,con,pro
1,neutral,pro
2,con,pro
3,pro,pro
4,pro,pro
5,pro,pro
6,pro,pro
7,con,pro
8,con,pro
1,con,pro
2,con,pro
3,con,pro
4,unk,pro
5,con,pro
6,con,pro
7,unk,pro
8,con,pro
1,pro,pro
2,con,pro
3,pro,pro
4,con,pro
5,unk,pro
6,con,pro
7,neutral,pro
8,pro,pro
1,neutral,pro
2,con,pro
3,con,pro
4,con,pro
5,con,pro
6,unk,con
7,pro,con
8,con,con
1,neutral,con
2,pro,con
3,pro,con
4,pro,con
5,neutral,con
6,pro,con
7,pro,pro
8,neutral,pro
1,pro,pro
2,con,pro
3,con,pro
4,pro,pro
5,con,pro
6,neutral,pro
7,con,pro
8,neutral,pro
1,con,pro
2,con,pro
3,con,pro
4,con,pro
5,con,pro
6,con,pro
7,con,pro
8,con,pro
