id_worker,original_answer,correct_ans
1,pro,con
2,pro,con
3,pro,con
4,pro,con
5,pro,con
6,pro,con
7,pro,con
8,con,con
1,pro,con
2,pro,pro
3,con,pro
4,pro,pro
5,con,pro
6,con,pro
7,con,pro
8,con,pro
1,pro,pro
2,con,pro
3,pro,pro
4,con,pro
5,pro,pro
6,con,pro
7,con,pro
8,con,pro
1,con,pro
2,pro,pro
3,con,pro
4,con,pro
5,con,pro
6,con,pro
7,con,pro
8,con,pro
1,con,pro
2,con,pro
3,pro,pro
4,con,pro
5,pro,pro
6,pro,pro
7,con,pro
8,con,pro
1,neutral,pro
2,neutral,pro
3,pro,pro
4,pro,pro
5,con,pro
6,con,con
7,pro,con
8,pro,con
1,pro,con
2,pro,con
3,pro,con
4,pro,con
5,con,con
6,pro,con
7,con,pro
8,con,pro
1,neutral,pro
2,con,pro
3,con,pro
4,con,pro
5,con,pro
6,pro,pro
7,con,pro
8,con,pro
1,con,pro
2,con,pro
3,con,pro
4,con,pro
5,con,pro
6,con,pro
7,pro,pro
8,con,pro
